concept,definition,labels,subjects,sources
"Conjunto","Un conjunto es una colección de elementos que comparten una característica o propiedad en común","Matemáticas Discretas, Conjuntos","Metodos Matemáticos I","example.com"
"Nomenclatura","La nomenclatura es el sistema de reglas y convenciones utilizadas para nombrar elementos, objetos o conceptos","Matemáticas Discretas","Metodos Matemáticos I","example.com"
"Cardinalidad","La cardinalidad de un conjunto es el número de elementos que contiene","Matemáticas Discretas","Metodos Matemáticos I","example.com"
"Conjunto Finito","Un conjunto finito es aquel que contiene una cantidad determinada y contable de elementos","Matemáticas Discretas, Conjuntos","Metodos Matemáticos I","example.com"
"Conjunto infinito","Un conjunto infinito es aquel que contiene una cantidad no contable de elementos","Matemáticas Discretas, Conjuntos","Metodos Matemáticos I","example.com"
"Conjunto Vacio","El conjunto vacío es aquel que no contiene elementos","Matemáticas Discretas, Conjuntos","Metodos Matemáticos I","example.com"
"Conjunto Universal","Es el conjunto que contiene a todos los elementos de estudio en un contexto dado","Matemáticas Discretas, Conjuntos","Metodos Matemáticos I","example.com"
"Subconjunto","Un conjunto A es un subconjunto de otro conjunto B si todos los elementos de A también pertenecen a B","Matemáticas Discretas, Conjuntos","Metodos Matemáticos I","example.com"
"Conjunto Potencia","Es el conjunto que contiene todos los subconjuntos posibles de un conjunto dado","Matemáticas Discretas, Conjuntos","Metodos Matemáticos I","example.com"
"Unión","La unión de dos conjuntos A y B es el conjunto que contiene todos los elementos que pertenecen a A o a B","Matemáticas Discretas, Conjuntos","Metodos Matemáticos I","example.com"
"Intersección","La intersección de dos conjuntos A y B es el conjunto que contiene todos los elementos que pertenecen tanto a A como a B","Matemáticas Discretas, Conjuntos","Metodos Matemáticos I","example.com"
"Producto Cruz","Es una operación entre dos vectores que resulta en un nuevo vector perpendicular a ambos vectores originales","Matemáticas Discretas, Conjuntos","Metodos Matemáticos I","example.com"
"Diferencia","La diferencia entre dos conjuntos A y B es el conjunto que contiene todos los elementos que pertenecen a A pero no a B","Matemáticas Discretas, Conjuntos","Metodos Matemáticos I","example.com"
"Complemento","El complemento de un conjunto A con respecto a un conjunto universal U es el conjunto que contiene todos los elementos de U que no pertenecen a A","Matemáticas Discretas, Conjuntos","Metodos Matemáticos I","example.com"
"Lógica","La lógica es una disciplina que estudia el razonamiento válido y correcto","Matemáticas Discretas, Lógica Matemática","Metodos Matemáticos I","example.com"
"Conectivos Lógicos","Son símbolos o palabras utilizadas para construir expresiones lógicas más complejas","Lógica Matemática","Metodos Matemáticos I","example.com"
"Conectivos monádicos","Son conectivos lógicos que operan sobre una única proposición","Lógica Matemática","Metodos Matemáticos I","example.com"
"conectivos diádicos","Son conectivos lógicos que operan sobre dos proposiciones","Lógica Matemática","Metodos Matemáticos I","example.com"
"conectivos conmutativos","Son conectivos lógicos cuyo resultado no depende del orden de las proposiciones","Lógica Matemática","Metodos Matemáticos I","example.com"
"conectivos no conmutativos","Son conectivos lógicos cuyo resultado sí depende del orden de las proposiciones","Lógica Matemática","Metodos Matemáticos I","example.com"
"Tabla de verdad","Es una representación tabular que muestra todas las combinaciones posibles de verdad para proposiciones en un argumento o expresión lógica. Se utiliza para determinar la validez de un razonamiento o la consistencia de una declaración","Lógica Matemática","Metodos Matemáticos I","example.com"
"Lórigca proposicional","Es un lenguaje formal que estudia las proposiciones y cómo se combinan a través de conectores lógicos como AND (y), OR (o), NOT (no), etc. para formar argumentos complejos","Lógica Matemática","Metodos Matemáticos I","example.com"
"Lenguaje natural","Es el lenguaje que usamos comúnmente para comunicarnos en el día a día, como el español, inglés, etc","Lógica Matemática","Metodos Matemáticos I","example.com"
"Proposiciones singulares","Son declaraciones que se refieren a un hecho específico y particular. Por ejemplo, Hoy es lunes","Lógica Matemática","Metodos Matemáticos I","example.com"
"Proposiciones existenciales","Son proposiciones que afirman la existencia de al menos un elemento que satisface una cierta condición. Por ejemplo, Existen unicornios en el bosque encantado","Lógica Matemática","Metodos Matemáticos I","example.com"
"proposiciones universales","Son proposiciones que afirman que algo es cierto para todos los casos. Por ejemplo, Todos los pájaros tienen alas","Lógica Matemática","Metodos Matemáticos I","example.com"
"Tautología","Es una proposición que es siempre verdadera, sin importar los valores de verdad de sus componentes. Por ejemplo, o es verdadero OR no es verdadero","Lógica Matemática","Metodos Matemáticos I","example.com"
"Contingencia","Es una proposición que puede ser verdadera o falsa dependiendo de los valores de verdad de sus componentes. Por ejemplo, Hoy es un día caluroso (puede ser verdadero o falso dependiendo del clima)","Lógica Matemática","Metodos Matemáticos I","example.com"
"Contradicción","Es una proposición que es siempre falsa, sin importar los valores de verdad de sus componentes. Por ejemplo, El círculo es cuadrado","Lógica Matemática","Metodos Matemáticos I","example.com"
"Deducción formal","Es un proceso en el que se derivan conclusiones a partir de premisas utilizando reglas lógicas","Lógica Matemática","Metodos Matemáticos I","example.com"
"Inferencia","Es el proceso de llegar a una conclusión basada en la evidencia y el razonamiento lógico","Lógica Matemática","Metodos Matemáticos I","example.com"
"Reglas de implicación","Son reglas que determinan cómo las premisas implican una conclusión. Por ejemplo, la regla de modus ponens: Si A implica B y A es verdadero, entonces B debe ser verdadero","Lógica Matemática","Metodos Matemáticos I","example.com"
"Reglas de reemplazo","Son reglas que permiten reemplazar una proposición por otra equivalente. Por ejemplo, la regla de doble negación: no no p es equivalente a p","Lógica Matemática","Metodos Matemáticos I","example.com"
"Algebra de Boole","Es un sistema matemático que utiliza operaciones lógicas para manipular proposiciones y resolver problemas de lógica","Álgebra de Boole","Metodos Matemáticos I","example.com"
"Función","Es una relación entre dos conjuntos, donde cada elemento del primer conjunto (dominio) se relaciona con exactamente un elemento del segundo conjunto (rango)","Matemáticas","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","example.com"
"Intervalos Abiertos","Son intervalos que no incluyen sus extremos. Por ejemplo, el intervalo (0, 1) representa todos los números reales mayores que 0 y menores que 1","Matemáticas","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","example.com"
"Invervalos cerrados","Son intervalos que incluyen sus extremos. Por ejemplo, el intervalo [0, 1] representa todos los números reales mayores o iguales a 0 y menores o iguales a 1","Matemáticas","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","example.com"
"Desigualdad Matemática","Es una expresión que indica que dos cantidades no son iguales, por ejemplo, x > 3 significa que x es mayor que 3","Matemáticas","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","example.com"
"Dominio","Es el conjunto de todos los valores de entrada válidos para una función","Matemáticas","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","example.com"
"Rango","Es el conjunto de todos los valores de salida que la función puede tomar","Matemáticas","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","example.com"
"Funciones algebraicas","Son funciones que se pueden construir utilizando operaciones algebraicas (suma, resta, multiplicación, división) y funciones algebraicas elementales (como polinomios, raíces, funciones racionales, etc.)","Matemáticas","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","example.com"
"funciones trascendentes","Son funciones que no son algebraicas, como las funciones trigonométricas, exponenciales, logarítmicas, etc","Matemáticas","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","example.com"
"Límite","Es el valor al que se acerca una función a medida que su variable independiente se acerca a un cierto valor","Matemáticas","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","example.com"
"Tabulación","Es el proceso de calcular y organizar los valores de una función para diferentes valores de la variable independiente, generalmente se muestra en una tabla","Matemáticas","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","example.com"
"Limites unilaterales","Son límites que se acercan desde un lado específico de la variable independiente, ya sea el lado izquierdo o el derecho","Matemáticas","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","example.com"
"Límites bilaterales","Son límites que se acercan desde ambos lados de la variable independiente","Matemáticas","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","example.com"
"Límites indeterminados","Son límites que no se pueden determinar directamente, y requieren técnicas adicionales para su evaluación","Matemáticas","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","example.com"
"Límites infinitos","Son límites donde la función se acerca a infinito o menos infinito a medida que la variable independiente crece o disminuye","Matemáticas","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","example.com"
"Límites al infinito","Son límites que involucran la evaluación de una función cuando la variable independiente tiende a infinito o menos infinito","Matemáticas","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","example.com"
"Límites trigonométricos","Son límites que implican funciones trigonométricas y su evaluación cuando la variable tiende a cierto valor","Matemáticas","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","example.com"
"Derivada","Es una medida de la tasa de cambio instantánea de una función en un punto determinado","Cálculo","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","example.com"
"Regla de la cadena","Es una regla para calcular la derivada de la composición de dos o más funciones","Cálculo","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","example.com"
"Derivación implícita","Es un método para encontrar la derivada de una función implícita, donde la variable dependiente no está despejada explícitamente","Cálculo","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","example.com"
"Puntos críticos","Son los puntos donde la derivada de una función es cero o no está definida. Pueden ser máximos, mínimos o puntos de inflexión","Cálculo","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","example.com"
"Extremos relativos","Son los máximos o mínimos locales de una función","Cálculo","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","example.com"
"Intervalos de crecimiento","Son los intervalos en los que una función está creciendo (la derivada es positiva)","Cálculo","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","example.com"
"Intervalos de decrecimiento","Son los intervalos en los que una función está decreciendo (la derivada es negativa)","Cálculo","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","example.com"
"Puntos de inflexión","Son los puntos donde la concavidad de una función cambia","Cálculo","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","example.com"
"Intervalos de concavidad","Son los intervalos en los que una función es cóncava hacia arriba (concavidad positiva) o cóncava hacia abajo (concavidad negativa)","Cálculo","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","example.com"
"Regla de L Hopital","Es una regla para evaluar límites indeterminados que involucran el cociente de funciones con límites que se acercan a cero o infinito","Cálculo","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","example.com"
"Formulas diferenciales","Son ecuaciones que relacionan una función con sus derivadas","Cálculo","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","example.com"
"Antidiferenciales","Son el inverso de la derivación y se utilizan para encontrar primitivas o integrales indefinidas","Cálculo","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","example.com"
"Funciones primitivas","Son las funciones que se obtienen al calcular la antiderivada de una función","Cálculo","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","example.com"
"Integral indefinida","Es la generalización de la antiderivada y se utiliza para encontrar familias de funciones cuyas derivadas son iguales a una función dada","Cálculo","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","example.com"
"Integración por partes","Es una técnica de integración que se basa en la regla del producto","Cálculo","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","example.com"
"Teorema fundamental del cálculo","Establece la relación entre la derivación y la integración y simplifica el cálculo de integrales definidas","Cálculo","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","example.com"
"Producto Cartesiano","Es el conjunto de todos los pares ordenados (x, y) donde x es un elemento del primer conjunto y y es un elemento del segundo conjunto","Matemáticas Discretas, Conjuntos","Matemáticas discretas","example.com"
"Diferencia Simétrica","Es una operación que elimina los elementos comunes entre dos conjuntos y combina los elementos restantes en un solo conjunto","Matemáticas Discretas, Conjuntos","Matemáticas discretas","example.com"
"Composición de relaciones","Es una operación que combina dos relaciones para formar una nueva relación","Matemáticas Discretas, Relaciones y Conjuntos","Matemáticas discretas","example.com"
"Reflexividad","Es una propiedad en una relación donde cada elemento del conjunto se relaciona consigo mismo","Matemáticas Discretas, Relaciones y Conjuntos","Matemáticas discretas","example.com"
"iireflexividad","Es una propiedad en una relación donde ningún elemento del conjunto se relaciona consigo mismo","Matemáticas Discretas, Relaciones y Conjuntos","Matemáticas discretas","example.com"
"Simetría","Una relación es simétrica si, para cada par de elementos (a, b) en la relación, si a está relacionado con b, entonces b también está relacionado con a","Matemáticas Discretas, Relaciones y Conjuntos","Matemáticas discretas","example.com"
"Antisimetría","Una relación es antisimétrica si, para cada par de elementos (a, b) en la relación, si a está relacionado con b y b está relacionado con a, entonces a y b son iguales","Matemáticas Discretas, Relaciones y Conjuntos","Matemáticas discretas","example.com"
"Transitividad","Una relación es transitiva si, para cada par de elementos (a, b) y (b, c) en la relación, si a está relacionado con b y b está relacionado con c, entonces a está relacionado con c","Matemáticas Discretas, Relaciones y Conjuntos","Matemáticas discretas","example.com"
"Extensión transitiva","Dada una relación, su extensión transitiva es la relación transitiva más pequeña que contiene la relación original","Matemáticas Discretas, Relaciones y Conjuntos","Matemáticas discretas","example.com"
"Cerradura transitivia","Es la extensión transitiva de una relación, lo que significa que se agregan todas las relaciones transitivas posibles","Matemáticas Discretas, Relaciones y Conjuntos","Matemáticas discretas","example.com"
"Relaciones de equivalencia","Son relaciones que son reflexivas, simétricas y transitivas. Dividen un conjunto en clases de equivalencia donde los elementos relacionados entre sí pertenecen a la misma clase","Matemáticas Discretas, Relaciones y Conjuntos","Matemáticas discretas","example.com"
"Ordenes Parciales","Son relaciones que son reflexivas, antisimétricas y transitivas. Establecen un orden entre los elementos del conjunto","Matemáticas Discretas, Relaciones y Conjuntos","Matemáticas discretas","example.com"
"Inducción Matemática","Es un método de demostración que se utiliza para probar afirmaciones para todos los números naturales","Matemáticas Discretas","Matemáticas discretas","example.com"
"Numeros Enteros","Son los números que incluyen a los números naturales y sus negativos, junto con el cero","Matemáticas","Matemáticas discretas","example.com"
"Fórmulas inductivas","Son fórmulas que se definen recursivamente usando casos base y reglas de inducción","Matemáticas Discretas","Matemáticas discretas","example.com"
"Generalización (Matemáticas Discretas, Inducción)","Consiste en extender una afirmación más allá de un caso específico y hacerla aplicable a una amplia gama de casos","Matemáticas Discretas, Inducción","Matemáticas discretas","example.com"
"Primer principio de la inducción matemática",": Es el caso base de la inducción matemática donde se demuestra que la afirmación es verdadera para el número natural más pequeño (generalmente es 0 o 1)","Matemáticas Discretas, Inducción","Matemáticas discretas","example.com"
"Progresiones aritméticas","Son secuencias de números donde la diferencia entre cualquier par de términos consecutivos es constante","Matemáticas Discretas, Progresiones y Sucesiones","Matemáticas discretas","example.com"
"Progresiones geométricas","Son secuencias de números donde el cociente entre cualquier par de términos consecutivos es constante","Matemáticas Discretas, Progresiones y Sucesiones","Matemáticas discretas","example.com"
"Escalera de Jacob","Es un método para calcular el producto de dos números utilizando sumas y restas repetidas","Matemáticas Discretas, Progresiones y Sucesiones","Matemáticas discretas","example.com"
"Escalera de Oro de Jacob","Es una variante de la Escalera de Jacob que reduce el número de términos necesarios para calcular el producto","Matemáticas Discretas, Progresiones y Sucesiones","Matemáticas discretas","example.com"
"Suceciones de recurrencia","Son secuencias donde cada término depende del término (o varios términos) que lo precede","Matemáticas Discretas, Progresiones y Sucesiones","Matemáticas discretas","example.com"
"Relaciones de recurrencia","Son ecuaciones que definen las sucesiones de recurrencia","Matemáticas Discretas, Progresiones y Sucesiones","Matemáticas discretas","example.com"
"Soluciones homogéneas","Son soluciones de una relación de recurrencia que se igualan a cero","Matemáticas Discretas, Progresiones y Sucesiones","Matemáticas discretas","example.com"
"Soluciones particulares","Son soluciones de una relación de recurrencia que no son soluciones homogéneas","Matemáticas Discretas, Progresiones y Sucesiones","Matemáticas discretas","example.com"
"Soluciones totales","Son combinaciones de soluciones homogéneas y particulares de una relación de recurrencia","Matemáticas Discretas, Progresiones y Sucesiones","Matemáticas discretas","example.com"
"Principios de conteo","Son técnicas utilizadas para contar el número de formas en que se pueden realizar ciertos evento","Matemáticas Discretas, Conteo y Combinatoria","Matemáticas discretas","example.com"
"Listas","Es una técnica de conteo que implica enumerar todas las posibilidades","Estructura de Datos Básicas","Matemáticas discretas","example.com"
"Arboles","Es una técnica de conteo que utiliza diagramas en forma de árbol para visualizar las posibilidades","Estructura de Datos Básicas","Matemáticas discretas","example.com"
"Permutaciones","Son el número de formas en que se pueden organizar objetos en un orden específico","Matemáticas Discretas, Conteo y Combinatoria","Matemáticas discretas","example.com"
"Combinaciones","Son el número de formas en que se pueden seleccionar objetos sin importar el orden","Matemáticas Discretas, Conteo y Combinatoria","Matemáticas discretas","example.com"
"Permutaciones gneralizadas","Son permutaciones con restricciones adicionales, como elementos repetidos","Matemáticas Discretas, Conteo y Combinatoria","Matemáticas discretas","example.com"
"Combinaciones generalizadas","Son combinaciones con restricciones adicionales, como elementos repetidos","Matemáticas Discretas, Conteo y Combinatoria","Matemáticas discretas","example.com"
"Principio de inclusión-exclusión","Es un método para contar la unión de conjuntos cuando se pueden superponer","Matemáticas Discretas, Conteo y Combinatoria","Matemáticas discretas","example.com"
"Principio de Dirichtlet","También conocido como el principio del palomar, establece que si se colocan más objetos en cajas que el número de cajas, entonces al menos una caja tendrá más de un objeto","Matemáticas Discretas, Conteo y Combinatoria","Matemáticas discretas","example.com"
"Identidades básicas","Son expresiones matemáticas que son verdaderas para todos los valores de las variables involucradas","Matemáticas Discretas, Álgebra","Matemáticas discretas","example.com"
"Teorema del binomio","Es una fórmula que permite expandir un binomio elevado a una potencia específica","Matemáticas Discretas, Álgebra","Matemáticas discretas","example.com"
"Triangulo de Pascal","Es una estructura triangular de números que muestra los coeficientes binomiales","Matemáticas Discretas, Álgebra","Matemáticas discretas","example.com"
"Grafos","Son estructuras matemáticas que consisten en vértices (nodos) conectados por aristas (líneas)","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Grafos dirigidos","Son grafos donde las aristas tienen una dirección específica","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Grafos no dirigidos","Son grafos donde las aristas no tienen una dirección específica","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Incidencia","Es una relación entre vértices y aristas que indica qué vértices están conectados por qué aristas","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Adyacencia","Es una relación que indica qué vértices están conectados por una arista","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Valencia","Es el número de aristas incidentes en un vértice","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Multigrafos","Son grafos que permiten múltiples aristas entre el mismo par de vértices o bucles (aristas que conectan un vértice consigo mismo)","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"grafos pesados","Son grafos en los que cada arista tiene asociado un peso o valor numérico que representa alguna medida o costo.","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Paseos","Son secuencias de vértices conectados por aristas en un grafo, donde los vértices pueden repetirse en el recorrido","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Circuitos","Son paseos cerrados en un grafo, donde el vértice inicial y final son el mismo","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Paseo de Euler","Es un paseo que visita cada arista de un grafo exactamente una vez","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Circuito de Euler","Es un circuito que visita cada arista de un grafo exactamente una vez, volviendo al vértice inicial","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Paseo de Hamilton","Es un paseo que visita cada vértice de un grafo exactamente una vez","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Circuito de Hamilton","Es un circuito que visita cada vértice de un grafo exactamente una vez, volviendo al vértice inicial","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Matriz de Adyacencia","Es una matriz cuadrada que representa un grafo, donde el valor en la intersección de la fila i y la columna j indica si los vértices i y j están conectados por una arista","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Matriz de Incidencia","Es una matriz que representa un grafo, donde el valor en la intersección de la fila i y la columna j indica la relación entre el vértice i y la arista j","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Isomorfismo de grafos","Dos grafos son isomorfos si pueden reorganizarse de tal manera que ambos sean estructuralmente iguales","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Grafos isomorfos","Dos grafos son isomorfos si tienen la misma estructura, es decir, si se pueden reorganizar sus vértices y aristas de manera que ambos sean idénticos en su forma, aunque los nombres de los vértices y aristas puedan ser diferentes","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Grafos aplanables","Un grafo se considera aplanable si es posible dibujarlo en un plano sin que sus aristas se crucen","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Teorema de Kuratowski","El teorema de Kuratowski establece que un grafo es planar si y solo si no contiene a ninguno de los dos grafos prohibidos: el grafo completo de cinco vértices (K5) y el grafo bipartito completo de seis vértices (K3,3)","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"BOSQUE","Es un conjunto de árboles disjuntos, es decir, un conjunto de árboles que no tienen vértices en común","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Nodos Hoja","Son los vértices de un árbol que no tienen hijos, es decir, son vértices con grado 1","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Nodos rama","Son los vértices de un árbol que tienen al menos un hijo, es decir, son vértices con grado mayor que 1","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Arboles enraizados","Son árboles que tienen un nodo designado como la raíz y cada vértice tiene un padre, excepto el nodo raíz","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Arbol dirigido","Es un árbol donde las aristas tienen una dirección específica, es decir, hay un sentido desde el nodo padre hacia el nodo hijo","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Nodos padre","Son los vértices de un árbol dirigido que tienen aristas dirigidas hacia ellos","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Nodos Hijo","Son los vértices de un árbol dirigido que tienen aristas dirigidas desde ellos hacia otros vértices","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Nodos hermano","Son vértices que tienen el mismo padre en un árbol","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Nodos descendiente","Son todos los vértices alcanzables desde un nodo dado en un árbol dirigido, siguiendo las aristas dirigidas","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Nodos ascendete","Son los vértices que tienen una arista dirigida hacia un nodo dado en un árbol dirigido","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Subarbol","Es un árbol que se obtiene tomando un nodo y todos sus descendientes, junto con las aristas que los conectan","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Arbol ordenado","Es un árbol donde se asigna un orden lineal a los hijos de cada nodo","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Arbol ordenado isomorfo","Dos árboles ordenados son isomorfos si tienen la misma estructura de árbol, es decir, si se pueden reorganizar sus nodos de manera que ambos sean idénticos en su forma como árboles ordenados","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Altura de un arbol","Es la longitud del camino más largo desde la raíz hasta una hoja en el árbol. Es decir, el número máximo de aristas que se deben recorrer para llegar desde la raíz hasta un nodo hoja","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Codigo de prefijos","Es un tipo de representación de datos donde ninguna cadena es el prefijo de otra cadena. En el contexto de compresión de datos, los códigos de prefijos son utilizados para representar eficientemente secuencias de caracteres o símbolos con diferentes longitudes de bits","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Arboles de busqueda binaria","Son árboles binarios ordenados que cumplen con la propiedad de búsqueda binaria. En un árbol de búsqueda binaria, para cada nodo, todos los nodos en el subárbol izquierdo tienen valores menores que el nodo actual, y todos los nodos en el subárbol derecho tienen valores mayores","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Arboles generadores","Son árboles que pueden ser generados o construidos mediante algún algoritmo o procedimiento específico. Estos árboles pueden no ser únicos y pueden variar según el método utilizado para su generación","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Conjuntos de corte","En el contexto de grafos, un conjunto de corte es un conjunto de aristas cuya remoción desconecta el grafo en dos o más componentes conexos. Si se corta un vértice en lugar de una arista, también se puede denominar corte","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Arbol generador mínimo","Es un subárbol que conecta todos los vértices de un grafo no dirigido con el menor peso total posible. En otras palabras, es un árbol que cubre todos los vértices del grafo con la menor suma de pesos en sus aristas","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Computación","Se refiere al estudio y desarrollo de algoritmos, programas y sistemas informáticos, así como la teoría y los fundamentos de la información y la computación","Fundamentos de Programación, Arquitectura de Computadoras","Fundamentos Filosóficos de la computación ","example.com"
"Programación","Es el proceso de escribir, diseñar, codificar y mantener programas de computadora para realizar tareas específicas","Fundamentos de Programación, Programación Orientada a Objetos","Fundamentos Filosóficos de la computación ","example.com"
"Lenguaje de programación","Es un conjunto de reglas y sintaxis que permiten a los programadores comunicarse con una computadora y escribir programas para que la máquina los ejecute","Fundamentos de Programación, Programación Orientada a Objetos","Fundamentos Filosóficos de la computación ","example.com"
